epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45683,2.90644,13.3509,5.36349,4.48718,0,0,0,0,0,0,0,0,3.37861,5.12975,5.31853,4.15926,0,0,0
2,5.58345,3.34302,6.02844,5.53749,4.17798,0,0,0,0,0,0,0,0,3.37863,5.13129,5.31868,4.15889,1.17822e-06,1.17822e-06,1.17822e-06
3,5.71294,4.00911,7.94954,5.70073,4.23997,0,0,0,0,0,0,0,0,3.37863,5.13016,5.31868,4.15883,2.33288e-06,2.33288e-06,2.33288e-06
4,5.81891,3.33263,10.0101,5.5962,4.27671,0,0,0,0,0,0,0,0,3.37863,5.13165,5.31868,4.15853,3.46397e-06,3.46397e-06,3.46397e-06
5,5.95855,3.48609,14.0389,5.74041,4.30398,0,0,0,0,0,0,0,0,3.37872,5.13026,5.31975,4.15842,4.5715e-06,4.5715e-06,4.5715e-06
6,6.06125,3.10733,14.7493,5.66545,4.25284,0,0,0,0,0,0,0,0,3.37926,5.13165,5.3202,4.15827,5.65548e-06,5.65548e-06,5.65548e-06
7,6.16337,3.20279,11.1217,5.77808,4.2414,0,0,0,0,0,0,0,0,3.37881,5.13074,5.32024,4.15831,6.71588e-06,6.71588e-06,6.71588e-06
8,6.28581,3.22575,12.7795,5.53881,4.31953,0,0,0,0,0,0,0,0,3.37864,5.13164,5.3207,4.15843,7.75273e-06,7.75273e-06,7.75273e-06
9,6.4212,3.30453,20.5203,5.90466,4.44336,0,0,0,0,0,0,0,0,3.37901,5.13147,5.32118,4.15806,8.76602e-06,8.76602e-06,8.76602e-06
10,6.56719,3.22419,11.7983,5.64474,4.36287,0,0,0,0,0,0,0,0,3.37901,5.13168,5.32118,4.15836,9.75574e-06,9.75574e-06,9.75574e-06
11,6.86184,3.31168,19.2293,5.54609,4.39562,0,0,0,0,0,0,0,0,3.37891,5.13183,5.32064,4.15792,1.07219e-05,1.07219e-05,1.07219e-05
12,7.08749,3.04645,8.32838,5.47689,4.23686,0,0,0,0,0,0,0,0,3.37891,5.13212,5.32064,4.15789,1.16645e-05,1.16645e-05,1.16645e-05
13,7.31802,3.27415,8.33751,5.45381,4.25735,0,0,0,0,0,0,0,0,3.37965,5.13144,5.32204,4.158,1.25835e-05,1.25835e-05,1.25835e-05
14,7.54552,3.41887,14.0827,5.62716,4.30386,0,0,0,0,0,0,0,0,3.38238,5.1323,5.32235,4.15792,1.3479e-05,1.3479e-05,1.3479e-05
15,7.7978,3.54287,8.13744,5.52142,4.23869,0,0,0,0,0,0,0,0,3.38273,5.1325,5.32354,4.15772,1.43509e-05,1.43509e-05,1.43509e-05
